Category,Sheet,,Created: 03/07/2026
Accounting/Audit,Accounting-Audit,,
AdTech & MarTech,AdTech & MarTech,,
Agricultural Supplies,Agricultural Supplies,,
Agricultural Technology (AgTech),Agricultural Technology (AgTech,,
Architecture,Architecture,,
Artificial Intelligence (AI),Artificial Intelligence (AI),,
Automotive Technology,Automotive Technology,,
Aviation,Aviation,,
Biotechnology,Biotechnology,,
Branding & Brand Design,Branding & Brand Design,,
Building Services,Building Services,,
Business Consulting & Strategy,Business Consulting & Strategy,,
Car Manufacturing,Car Manufacturing,,
Care Homes/Social Care,Care Homes-Social Care,,
Central & Local Government,Central & Local Government,,
CGI & Visual Effects,CGI & Visual Effects,,
Chemicals Manufacturing,Chemicals Manufacturing,,
Cloud Computing,Cloud Computing,,
Commercial Property,Commercial Property,,
Commercial Vehicles,Commercial Vehicles,,
Construction Technology (ConTech),Construction Technology (ConTec,,
Corporate & Trade Finance,Corporate & Trade Finance,,
Courier Services,Courier Services,,
Customer Experience (CX),Customer Experience (CX),,
Cybersecurity,Cybersecurity,,
Data Management,Data Management,,
Dealerships/Retail,Dealerships-Retail,,
Defence & Security,Defence & Security,,
Drug Development,Drug Development,,
E-commerce/Online Retail,E-commerce-Online Retail,,
EdTech (Education Technology),EdTech (Education Technology),,
E-learning,E-learning,,
Electric Vehicles (EVs),Electric Vehicles (EVs),,
Electricity Generation & Distribution,Electricity Generation & Distri,,
Emergency Services,Emergency Services,,
Energy Efficiency,Energy Efficiency,,
Energy Trading,Energy Trading,,
"Engineering (Civil, Structural, MEP)","Engineering (Civil, Structural,",,
Engineering Services,Engineering Services,,
Environmental Management & Consulting,Environmental Management & Cons,,
Environmental Technology,Environmental Technology,,
Events & Venues,Events & Venues,,
Facilities Management,Facilities Management,,
Farm Equipment & Machinery,Farm Equipment & Machinery,,
Farming,Farming,,
Fashion Retail,Fashion Retail,,
Film & Television Production,Film & Television Production,,
FinTech & Banking,FinTech & Banking,,
Fleet Management,Fleet Management,,
Food & Beverage Manufacturing,Food & Beverage Manufacturing,,
Food Service/Contract Catering,Food Service-Contract Catering,,
Gaming & Casinos,Gaming & Casinos,,
Gaming & Esports,Gaming & Esports,,
General business,General business,,
General business technology,General business technology,,
Green energy,Green energy,,
Grocery Retail,Grocery Retail,,
Health Technology (HealthTech),Health Technology (HealthTech),,
Higher Education,Higher Education,,
Hotels & Accommodation,Hotels & Accommodation,,
HR & Recruitment,HR & Recruitment,,
Industrial Property,Industrial Property,,
Ingredients & Suppliers,Ingredients & Suppliers,,
Insurance Technology (InsurTech),Insurance Technology (InsurTech,,
Investment & Wealth Management,Investment & Wealth Management,,
IT Infrastructure,IT Infrastructure,,
Laboratory Services,Laboratory Services,,
Last-Mile Delivery,Last-Mile Delivery,,
Legal Services,Legal Services,,
Logistics Technology,Logistics Technology,,
Manufacturing Technology,Manufacturing Technology,,
Maritime/Shipping,Maritime-Shipping,,
Market Research,Market Research,,
Marketing & Advertising,Marketing & Advertising,,
Media & Entertainment,Media & Entertainment,,
Medical Devices,Medical Devices,,
Medical Research,Medical Research,,
Mental Health Services,Mental Health Services,,
Music Industry,Music Industry,,
National news brands UK,National news brands,,
National news brands USA,Oil & Gas,,
Oil & Gas,Packaging & Product Design,,
Packaging & Product Design,Payments-Payment Processing,,
Payments/Payment Processing,Pharmaceuticals,,
Pharmaceuticals,Ports & Terminals,,
Ports & Terminals,Private Healthcare,,
Private Healthcare,Procurement & Supply Chain,,
Procurement & Supply Chain,Property & Facilities Technolog,,
Property & Facilities Technology,Property Development,,
Property Development,Property Investment,,
Property Investment,Public Healthcare,,
Public Healthcare,Public Relations (PR),,
Public Relations (PR),Public Services,,
Public Services,Pubs & Bars,,
Pubs & Bars,Rail,,
Rail,RegTech (Regulatory Technology),,
RegTech (Regulatory Technology),Renewable Energy,,
Renewable Energy,Residential Property,,
Residential Property,Restaurants & Catering,,
Restaurants & Catering,Retail Technology,,
Retail Technology,Road Transport-Haulage,,
Road Transport/Haulage,Robotics,,
Robotics,SaaS & Enterprise Software,,
SaaS & Enterprise Software,Schools (Primary & Secondary),,
Schools (Primary & Secondary),Service Design,,
Service Design,Specialty Retail,,
Specialty Retail,Sports & Recreation Facilities,,
Sports & Recreation Facilities,Telecommunications,,
Telecommunications,Third Sector Organisations,,
Third Sector Organisations,Training Providers,,
Training Providers,Travel & Tourism,,
Travel & Tourism,UX & UI,,
UX & UI,Veterinary Services,,
Veterinary Services,Warehousing & Distribution,,
Warehousing & Distribution,Waste Management & Recycling,,
Waste Management & Recycling,Water & Wastewater,,
Water & Wastewater,Water & Wastewater,,
,,,
Media type tabs,,,
National news brands UK,Broadcast Media,,
National news brands USA,Wires,,
International news brands,Freelance,,
Broadcast Media,Regional news brands,,
Wires,Wires,,
Freelance,Freelance,,
Regional news brands,Regional news brands,,
,,,
Reference tabs,,,
Field Instructions,Field Instructions,,
Verification Notes,Verification Notes,,
Removed contacts,Removed contacts,,
